"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","GeoRooted","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"172","1","172","11","11","11","123.0000","9.0000","29.0000","0.0000","40.7676","44.0000","7.0000","31.5911"
"173","1","173","11","11","11","140.0000","9.0000","32.0000","0.0000","42.1189","46.0000","7.0000","33.9116"
"174","1","174","11","11","11","94.0000","8.0000","23.0000","0.0000","35.4965","36.0000","6.0000","26.4575"
"175","1","175","11","11","11","97.0000","9.0000","22.0000","0.0000","36.3043","38.0000","6.0000","27.4591"
"176","1","176","11","11","11","113.0000","9.0000","22.0000","0.0000","33.6749","32.0000","6.0000","28.0000"
"177","1","177","11","11","11","70.0000","9.0000","15.0000","0.0000","27.0555","24.0000","5.0000","20.6398"
"178","1","178","11","11","11","112.0000","9.0000","25.0000","0.0000","38.9358","38.0000","5.0000","30.0998"
"179","1","179","11","11","11","92.0000","9.0000","18.0000","0.0000","28.7750","28.0000","6.0000","23.5797"
"180","1","180","11","11","11","59.0000","8.0000","15.0000","0.0000","27.2397","26.0000","5.0000","19.0263"
"181","1","181","11","11","11","106.0000","9.0000","24.0000","0.0000","37.1484","40.0000","6.0000","28.4956"
"182","1","182","11","11","11","145.0000","9.0000","34.0000","0.0000","43.5660","48.0000","8.0000","34.3511"
"183","1","183","11","11","11","106.0000","8.0000","27.0000","0.0000","39.3700","44.0000","6.0000","28.9137"
"184","1","184","11","11","11","121.0000","9.0000","29.0000","0.0000","39.6989","38.0000","6.0000","31.4006"
"185","1","185","11","11","11","137.0000","9.0000","34.0000","0.0000","43.7493","48.0000","7.0000","33.9411"
"186","1","186","11","11","11","124.0000","9.0000","29.0000","0.0000","41.9047","44.0000","6.0000","32.5576"
"187","1","187","11","11","11","116.0000","9.0000","29.0000","0.0000","40.2244","40.0000","7.0000","30.6268"
"188","1","188","11","11","11","103.0000","9.0000","23.0000","0.0000","36.5240","36.0000","6.0000","28.4956"
"189","1","189","11","11","11","82.0000","8.0000","16.0000","0.0000","29.1204","24.0000","5.0000","23.9583"
"190","1","190","11","11","11","120.0000","9.0000","25.0000","0.0000","38.4968","40.0000","6.0000","31.0483"
"191","1","191","11","11","11","139.0000","9.0000","35.0000","0.0000","44.2719","50.0000","8.0000","34.2345"
"192","1","192","11","11","11","88.0000","8.0000","23.0000","0.0000","35.8050","38.0000","6.0000","25.8070"
